year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp
2023,201,0,0.0,6.57,1.01,36.498,34.129999999999995,4.600884120111354,,,,,
2023,201,1,0.0,0.25,0.5,34.624,32.68000000000001,4.072462328801913,,,,,
2023,201,2,0.0,0.25,0.0,30.874,31.31,3.12844105406573,,,,,
2023,201,3,0.0,0.25,0.0,30.925,30.04000000000002,3.0838424812854175,,,,,
2023,201,4,0.0,0.25,0.0,30.293,28.910000000000025,2.8535734042863923,,,,,
2023,201,5,0.0,0.25,0.0,29.065,27.950000000000045,2.6347460474147892,,,,,
2023,201,6,10.393873085339168,6.57,0.0,30.976,27.29000000000002,2.9267328782483455,,,,,
2023,201,7,82.60393873085339,0.25,1.01,33.6,27.69,3.633345794804994,9.428293605234904,0.3852075487253166,,,
2023,201,8,167.94310722100656,0.25,1.01,36.173,29.28000000000003,4.327633816736644,9.428293605234904,0.3852075487253166,,,
2023,201,9,254.9234135667396,0.25,0.5,38.032,31.210000000000036,5.001315713027809,,,,,
2023,201,10,320.02188183807436,0.25,0.2312,39.03725,33.34000000000003,5.730135953327975,,,,,
2023,201,11,372.53829321663017,0.25,1.828333,40.40611,35.620000000000005,6.347437011536126,,,,,
2023,201,12,400.437636761488,6.57,2.153666,41.97869,37.83000000000004,7.042230580409834,,,,,
2023,201,13,399.890590809628,0.25,2.295,43.5169,39.85000000000002,7.875806224410804,,,,,
2023,201,14,370.35010940919034,0.0,2.767,44.13353,41.64000000000004,8.235020451318546,,,,,
2023,201,15,321.66301969365423,0.25,2.249667,45.17933,43.03000000000003,8.878439493936966,,,,,
2023,201,16,252.73522975929976,0.25,2.873667,45.48877,43.93000000000001,8.876133870760226,8.396507666653356,0.5447684449188291,,,
2023,201,17,172.3194748358862,0.25,3.063,44.75468,44.30000000000001,8.512673300877175,8.396507666653356,0.5447684449188291,,,
2023,201,18,91.90371991247264,6.32,2.479,44.60335,44.110000000000014,8.50389409772137,,,,,
2023,201,19,22.97592997811816,0.25,2.535,43.74277,43.400000000000034,8.119629425081962,,,,,
2023,201,20,0.0,0.25,1.860333,42.24297,41.5,7.45280383620758,,,,,
2023,201,21,0.0,0.0,1.593667,41.45467,39.30000000000001,7.100052692158769,,,,,
2023,201,22,0.0,0.25,1.404333,40.26011,37.34000000000003,6.722899528656654,,,,,
2023,201,23,0.0,0.25,1.556333,38.85417,35.47000000000003,6.1817319855066355,,,,,
2023,202,0,0.0,6.57,1.815,38.00733,33.74000000000001,5.84715521479458,,,,,
2023,202,1,0.0,0.0,1.836333,37.31024,32.200000000000045,5.646171983630371,,,,,
2023,202,2,0.0,0.0,1.1005,35.25548,30.75,4.837937362011413,,,,,
2023,202,3,0.0,0.25,1.897667,34.86488,29.420000000000016,4.79735309519235,,,,,
2023,202,4,0.0,0.25,0.0,31.45895,28.24000000000001,3.613701019265492,,,,,
2023,202,5,0.0,0.25,0.5802,30.22763,27.160000000000025,3.223428186256028,,,,,
2023,202,6,8.752735229759299,6.57,3.105667,32.11431,26.340000000000032,3.144065817120415,,,,,
2023,202,7,73.30415754923413,0.0,2.193667,31.85673,26.629999999999995,2.8868242708799334,9.554343280304026,0.2637741844117126,,,
2023,202,8,161.37855579868707,0.25,2.345666,32.59948,28.28000000000003,3.0603623301627234,9.554343280304026,0.2637741844117126,,,
2023,202,9,245.0765864332604,0.25,2.689667,33.88557,30.28000000000003,3.471903106338204,9.554343280304026,0.2637741844117126,,,
2023,202,10,309.6280087527352,0.0,1.783,35.24817,32.5,3.913443735760561,,,,,
2023,202,11,365.4266958424507,0.25,1.145667,37.60645,34.76000000000005,4.841154996768,,,,,
2023,202,12,391.1378555798687,6.57,1.647,39.29305,36.910000000000025,5.673815764209655,,,,,
2023,202,13,418.4901531728665,0.25,2.417667,40.9713,38.860000000000014,6.366065996253616,,,,,
2023,202,14,347.92122538293216,0.25,3.116333,41.92674,40.620000000000005,6.765088432632667,,,,,
2023,202,15,319.4748358862144,0.25,3.135,42.55241,42.06,7.2257762649881645,7.0400237945797155,0.4195875558602562,,,
2023,202,16,250.54704595185993,0.25,2.639,43.14915,43.07000000000005,7.51067128998632,7.0400237945797155,0.4195875558602562,,,
2023,202,17,155.9080962800875,0.0,2.495,43.8737,43.64000000000004,7.905456962927443,,,,,
2023,202,18,86.98030634573304,6.57,2.455,43.61243,43.69,7.981256708933091,,,,,
2023,202,19,18.052516411378555,0.25,2.089667,42.73539,43.21000000000003,7.41833845254216,,,,,
2023,202,20,0.0,0.0,0.7502334,41.55358,41.47000000000003,6.981675825399046,,,,,
2023,202,21,0.0,0.25,0.9906999,38.32179,39.64000000000004,5.353866899650035,,,,,
2023,202,22,0.0,0.25,1.2114,38.29118,38.02000000000004,5.4648389892056235,,,,,
2023,202,23,0.0,0.25,5.551,37.17715,36.39000000000004,5.032559962490779,,,,,
2023,203,0,0.0,6.57,2.058767,36.9203,34.82000000000005,4.994349210339587,,,,,
2023,203,1,0.0,0.25,1.034933,35.95197,33.420000000000016,4.604589568403205,,,,,
2023,203,2,0.0,0.0,2.375,35.12428,32.08000000000004,4.314796889511661,,,,,
2023,203,3,0.0,0.25,0.0,33.56359,30.840000000000032,3.765092072469187,,,,,
2023,203,4,0.0,0.25,0.0,33.18528,29.730000000000015,3.688994815971548,,,,,
2023,203,5,0.0,0.25,0.0,32.22051,28.950000000000045,3.381217609489015,,,,,
2023,203,6,7.11159737417943,6.57,0.3654667,32.41935,28.510000000000048,3.4338950933947197,,,,,
2023,203,7,72.75711159737418,0.0,0.3701667,33.31637,29.090000000000032,3.5916298605016856,,,,,
2023,203,8,181.61925601750545,0.25,0.4090666,36.02747,30.470000000000027,4.489866497758217,,,,,
2023,203,9,203.5010940919037,0.25,0.6399667,37.72099,32.03000000000003,5.174724276245415,,,,,
2023,203,10,288.2932166301969,0.0,0.4401333,39.31585,33.710000000000036,5.758274385888105,,,,,
2023,203,11,387.308533916849,0.25,1.713667,40.91942,35.32000000000005,6.5593513358540125,,,,,
2023,203,12,380.7439824945295,6.32,0.5877333,41.16417,36.83000000000004,6.6163037790487245,,,,,
2023,203,13,413.0196936542669,0.25,1.391633,42.55567,38.23000000000002,7.2356999562282995,,,,,
2023,203,14,375.2735229759299,0.25,2.060333,43.50109,39.74000000000001,7.760843359792039,,,,,
2023,203,15,304.70459518599563,0.25,1.413133,43.75407,41.08000000000004,7.8972588532769645,,,,,
2023,203,16,247.26477024070024,0.25,2.665666,44.7725,42.02000000000004,8.37553605149467,,,,,
2023,203,17,171.2253829321663,0.25,2.519,44.61694,42.59000000000003,8.341730862693806,,,,,
2023,203,18,94.63894967177242,6.57,2.311,43.88507,42.64000000000004,8.00694689031174,,,,,
2023,203,19,32.27571115973742,0.25,1.335,43.09686,42.160000000000025,7.624946904049854,,,,,
